utt_0000 | U do‘kondan non sotib oldi. | u do‘kondan non sotib oldi.
utt_0001 | Bugun havo juda iliq. | bugun havo juda iliq.
utt_0002 | kVt.s elektr energiya yetkazib bergan. | kilovatt-soniya elektr energiya yetkazib bergan.
utt_0003 | Joriy yilda bu raqam 2 mlrd kVt.soatni tashkil etadi. | joriy yilda bu raqam ikki milliard kilovatt.soatni tashkil etadi.
utt_0004 | Yangi elektr uzatish liniyasini barpo etish, O‘zbekistonning Pokiston bozoriga ham chiqish imkonini beradi. | yangi elektr uzatish liniyasini barpo etish, o‘zbekistonning pokiston bozoriga ham chiqish imkonini beradi.
utt_0005 | Mustaqil Davlatlar Hamdo‘stligi (MDH) missiyasi O‘zbekistondagi prezident saylovlarini kuzatishni boshlaydi. | mustaqil davlatlar hamdo‘stligi (mdh) missiyasi o‘zbekistondagi prezident saylovlarini kuzatishni boshlaydi.
utt_0006 | Bu haqda MDH Ijroiya qo‘mitasi raisi Sergey Lebedev jurnalistlarga ma'lum qilgan. | bu haqda mdh ijroiya qo‘mitasi raisi sergey lebedev jurnalistlarga maʻlum qilgan.
utt_0007 | "17 noyabr kuni MDH missiyasi O‘zbekistonda ish boshlaydi. | oʻn yettinchi noyabr kuni mdh missiyasi o‘zbekistonda ish boshlaydi.
utt_0008 | O‘n nafardan ortiq uzoq muddatli va yana 700 nafardan ortiq qisqa muddatli kuzatuvchilar faoliyat olib boradi. | o‘n nafardan ortiq uzoq muddatli va yana yetti yuz nafardan ortiq qisqa muddatli kuzatuvchilar faoliyat olib boradi.
utt_0009 | Ularning deyarli barchasi MDH mamlakatlari vakillaridir", - deya Lebedevning so‘zlarini keltirgan Sputnik Belarus. | ularning deyarli barchasi mdh mamlakatlari vakillaridir, - deya lebedevning so‘zlarini keltirgan sputnik belarus.
utt_0010 | U bu missiya Markaziy saylov komissiyasining O‘zbekiston Prezidenti saylovida kuzatuvchi sifatida ishtirok etish uchun rasmiy taklifi asosida ish boshlanishini ma'lum qilgan. | u bu missiya markaziy saylov komissiyasining o‘zbekiston prezidenti saylovida kuzatuvchi sifatida ishtirok etish uchun rasmiy taklifi asosida ish boshlanishini maʻlum qilgan.
utt_0011 | O‘tgan oyda Markaziy saylov qo‘mitasi MDH Ijroiya qo‘mitasiga rasmiy taklifnoma yo‘llab, O‘zbekistonda 2016 yil 4 dekabrda bo‘lib o‘tadigan prezidentlik saylovining xalqaro kuzatuvida ishtirok etishga chaqirgandi. | o‘tgan oyda markaziy saylov qo‘mitasi mdh ijroiya qo‘mitasiga rasmiy taklifnoma yo‘llab, o‘zbekistonda ikki ming oʻn oltinchi yil toʻrtinchi dekabrda bo‘lib o‘tadigan prezidentlik saylovining xalqaro kuzatuvida ishtirok etishga chaqirgandi.
utt_0012 | 2004 yildan beri MDH Ijroiya qo‘mitasida MDH kuzatuvchilari missiyasi faoliyatini ta'minlash bo‘limi ishlamoqda. | ikki ming toʻrtinchi yildan beri mdh ijroiya qo‘mitasida mdh kuzatuvchilari missiyasi faoliyatini taʻminlash bo‘limi ishlamoqda.
utt_0013 | O‘zbekistonda MDH kuzatuvchilari missiyasi 2004, 2009 va 2014 yilgi O‘zbekiston Respublikasi Oliy Majlisi Qonunchilik palatasiga, shuningdek, 2007 va 2015 yilgi O‘zbekiston Respublikasi Prezidenti saylovlari chog‘ida kuzatuv amalga oshirgan. | o‘zbekistonda mdh kuzatuvchilari missiyasi ikki ming toʻrt, ikki ming toʻqqiz va ikki ming oʻn toʻrtinchi yilgi o‘zbekiston respublikasi oliy majlisi qonunchilik palatasiga, shuningdek, ikki ming yetti va ikki ming oʻn beshinchi yilgi o‘zbekiston respublikasi prezidenti saylovlari chog‘ida kuzatuv amalga oshirgan.
utt_0014 | Lebedev 2015 yilning martida o‘tkazilgan O‘zbekiston prezidenti saylovida ham MDH kuzatuvchilar missiyasiga rahbarlik qilgandi. | lebedev ikki ming oʻn beshinchi yilning martida o‘tkazilgan o‘zbekiston prezidenti saylovida ham mdh kuzatuvchilar missiyasiga rahbarlik qilgandi.
utt_0015 | «Akfa» universitetiga qariyb 30 gektar yerni doimiy foydalanishga berish ko‘zda tutilgan qaror loyihasi tanqid qilindi «Sog‘liqni saqlash vazirligi tomonidan Normativ-huquqiy hujjatlar loyihalari muhokamasi portaliga qo‘yilgan «Akfa universitetining moddiy-texnik bazasini mustahkamlash bo‘yicha qo‘shimcha chora-tadbirlar to‘g‘risida»gi prezident qarori loyihasi kelishish uchun agentligimizga yuborilmagan. | akfa universitetiga qariyb oʻttiz gektar yerni doimiy foydalanishga berish ko‘zda tutilgan qaror loyihasi tanqid qilindi sog‘liqni saqlash vazirligi tomonidan normativ-huquqiy hujjatlar loyihalari muhokamasi portaliga qo‘yilgan akfa universitetining moddiy-texnik bazasini mustahkamlash bo‘yicha qo‘shimcha chora-tadbirlar to‘g‘risidagi prezident qarori loyihasi kelishish uchun agentligimizga yuborilmagan.
utt_0016 | Regulation.gov.uz’da ham hujjat loyihasini tayyorlagan va ko‘rib chiqqan vazirlik va idoralar ro‘yxatida ham agentligimiz nomi keltirilmagan. | regulation.gov.uzʻda ham hujjat loyihasini tayyorlagan va ko‘rib chiqqan vazirlik va idoralar ro‘yxatida ham agentligimiz nomi keltirilmagan.
